topic_label,topic_probability,Confidence_Level
Kerusakan Rumah & Bantuan,0.7069,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.8158,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.3929,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.6111,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.3928,Rendah (<0.50)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Bencana & Kehilangan Tempat Tinggal,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.3929,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.3929,Rendah (<0.50)
Dampak Pendidikan & Tempat Tidur,0.75,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.5345,Sedang (0.50–0.74)
Dampak Pendidikan & Tempat Tidur,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.6111,Sedang (0.50–0.74)
Dampak Pendidikan & Tempat Tidur,0.3946,Rendah (<0.50)
Kerusakan Rumah & Bantuan,0.5245,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.5644,Sedang (0.50–0.74)
Bencana & Kehilangan Tempat Tinggal,0.3929,Rendah (<0.50)
Kerusakan Rumah & Bantuan,0.75,Tinggi (≥0.75)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.9205,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.8542,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.8542,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.3929,Rendah (<0.50)
Kebutuhan Makan & Aktivitas Fisik,0.8542,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.8542,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.8793,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.4375,Rendah (<0.50)
Kerusakan Rumah & Bantuan,0.4518,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.8793,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.6029,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.7066,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.3959,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.6111,Sedang (0.50–0.74)
Kerusakan Rumah & Bantuan,0.8158,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.6893,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Bencana & Kehilangan Tempat Tinggal,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8793,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.75,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.3929,Rendah (<0.50)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.3621,Rendah (<0.50)
Kebutuhan Makan & Aktivitas Fisik,0.6111,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8542,Tinggi (≥0.75)
Kehilangan & Trauma Keluarga,0.6111,Sedang (0.50–0.74)
Kerusakan Rumah & Bantuan,0.2292,Rendah (<0.50)
Kebersihan & Aktivitas Pemulihan,0.7069,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Kerusakan Rumah & Bantuan,0.4375,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.3929,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.7069,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.8158,Tinggi (≥0.75)
